metric_key,metric_name,metric_class,min_role_level,base_table,numerator_sql,denominator_sql,is_additive,grain_note,synonyms,description
total_transactions,Total Transactions,volume,EXEC,v_sales_summary_daily,SUM(transaction_count),,TRUE,Additive at every grain,"[""transactions"", ""txn count"", ""number of transactions"", ""footfall proxy"", ""sale performance"", ""performance"", ""how is it performing""]",Count of distinct receipts.
total_quantity,Total Units Sold,volume,EXEC,v_sales_summary_daily,SUM(quantity),,TRUE,Additive at every grain,"[""units"",""quantity"",""pieces sold""]",Total units sold.
total_sales,Total Sales,money,HOD,v_sales_summary_daily,SUM(gross_sales_amount),,TRUE,Additive at every grain,"[""sales"",""revenue"",""turnover"",""sale performance"",""GMV""]",Gross sales amount. HOD only.
net_sales,Net Sales,money,HOD,v_sales_summary_daily,SUM(net_sales_amount),,TRUE,Additive at every grain,"[""net sales"",""sales after discount""]",Sales net of discount. HOD only.
total_gmv,Total GMV,money,HOD,v_sales_summary_daily,SUM(gmv_amount),,TRUE,Additive at every grain,"[""gmv"",""gross merchandise value""]",Gross merchandise value. HOD only.
distinct_customers,Distinct Customers,volume,EXEC,v_customer_opco_monthly,COUNT(DISTINCT customer_key),,FALSE,"EXACT count. Monthly grain only - the customer tables are monthly, so a sub-month period cannot be answered here; use membership_penetration_txn on v_sales_summary_daily for an arbitrary date range.","[""customers"",""unique customers"",""shoppers"",""customer count""]","Exact distinct customers, counted at monthly grain from the customer tables."
distinct_member_customers,Distinct Member Customers,volume,EXEC,v_customer_opco_monthly,COUNT(DISTINCT customer_key) FILTER (WHERE is_member),,FALSE,EXACT count. Monthly grain only. customer_key is legal ONLY inside COUNT(DISTINCT).,"[""members"",""member customers"",""unique members""]","Exact distinct member customers, monthly grain."
membership_penetration_txn,Membership Penetration (Transactions),ratio_volume,EXEC,v_sales_summary_daily,SUM(transaction_count) FILTER (WHERE customer_type = 'Member'),SUM(transaction_count),FALSE,Compute the ratio at query time - never store or average it,"[""membership penetration"",""member penetration"",""member mix"",""penetration""]",Share of transactions made by members. DEFAULT definition of membership penetration.
membership_penetration_sales,Membership Penetration (Sales),ratio_money,HOD,v_sales_summary_daily,SUM(gross_sales_amount) FILTER (WHERE customer_type = 'Member'),SUM(gross_sales_amount),FALSE,Compute the ratio at query time,"[""membership penetration by sales"",""member sales share"",""member revenue mix""]",Share of sales value contributed by members. HOD only.
membership_penetration_customer,Membership Penetration (Customers),ratio_volume,EXEC,v_customer_opco_monthly,COUNT(DISTINCT customer_key) FILTER (WHERE is_member),COUNT(DISTINCT customer_key),FALSE,EXACT ratio. Monthly grain only. For a sub-month period use membership_penetration_txn instead.,"[""member share of customers"",""penetration by customer""]",Share of distinct customers who are members.
