schema_name,object_name,object_type,grain,partition_strategy,est_rows,role_gate,has_identity_column,money_columns,replaces_v2,purpose
ci_core,dim_opco,dimension,opco_code,none,5,none,no,no,new,"OpCo master. Joinable by the planner for opco_name and business_domain, and the source of the OpCo roster the entity resolver and the SQL validator both read. is_group_entity was dropped with the group-access exception it drove."
ci_core,dim_store,dimension,opco_code x store_id,none,~550,none,no,no,denormalised store_* text on v2 facts,"Store master. Keyed by (opco_code, store_id) because store_id is unique only WITHIN an opco - NORTHCO 1011 is QUILLREACH RAVENSHOLLOW and NORTHCO_MART 1011 is PIPERBROOK KELVINHOLLOW - so every join from a fact must match on BOTH columns. RLS-scoped so store name lookups cannot resolve outside the caller's opco. state_name / city_name are still NULL; the store feed carries neither."
ci_core,dim_product_category,dimension,category_key,none,"~5,400",none,no,no,denormalised product_* text on sales_month_fact_v2,4-level category hierarchy with denormalised ancestor keys (l1..l4). This is what makes a grant at ANY level enforceable.
ci_core,dim_product,dimension,sku_key,none,"~200,000 (optional)",none,no,no,new,"OPTIONAL. SKU master, only needed if SKU-level questions are in scope."
ci_core,fact_sales_daily,fact_atomic,calendar_date x daypart x opco x store x category_key x customer_type x payment_type,monthly RANGE on calendar_date,40-60M / yr,money -> HOD,no,yes,gold_customer_360_sales_month_fact_v2 + gold_customer_360_payment_time_month_fact_v2,"ATOMIC serving grain. Use when the question needs store detail or category depth below level 2. Deliberately has NO customer key, which is what makes customer-level answers structurally impossible. Carries daypart as degenerate text - no dimension join."
ci_core,agg_sales_daily,fact_rollup,calendar_date x daypart x opco x category_l1 x category_l2 x customer_type,monthly RANGE on calendar_date,~400K / yr,money -> HOD,no,yes,new,"DEFAULT table for sales performance, membership penetration, daily trend and best-daypart questions. Smallest table that answers them."
ci_core,agg_sales_sku_monthly,fact_rollup,month_start_date x opco x store x sku_key x customer_type,none,~10M / yr (optional),money -> HOD,no,yes,new,"OPTIONAL. SKU and BRAND sales aggregates. Carries store_id so brand and SKU performance can be asked about one branch or region, and brand_name denormalised from dim_product so a brand ranking is a GROUP BY rather than a join. Deliberately has NO customer key - SKU x customer is the combination that must never exist - and the customer bridge stops at category, so nothing pairs a customer with a SKU or a brand. Brand answers what SOLD, never who bought it."
ci_core,fact_customer_opco_monthly,fact_customer,"customer_key x month_start_date x opco_code -- ONE CUSTOMER OCCUPIES ONE ROW PER OPCO, so COUNT(*) is not a customer count",monthly RANGE on month_start_date,60-150M / yr,money -> HOD,"yes (customer_key, count-only)",yes,gold_customer_360_copilot_dim_v2 + gold_customer_360_customer_month_fact_v2 + gold_customer_360_opco_month_fact_v2,"Opco-scoped customer state and behaviour. All customer questions are COUNT(DISTINCT customer_key) with filters. ABSORBED the retired fact_customer_group_monthly: active_opco_codes / active_opco_count / is_multi_opco_customer / primary_opco_code are the four columns that table carried and this one did not, so cross-OpCo overlap is now a containment test on this grain rather than a join. GRAIN HAZARD: with OpCo row filtering withdrawn every caller sees all four OpCos, so a customer active in two of them appears twice. COUNT(DISTINCT customer_key) is mandatory and the validator enforces it. total_revenue and total_gmv are per-OpCo and DO sum correctly; age and active_opco_count are per-customer constants and do not."
ci_core,bridge_customer_category_monthly,bridge,customer_key x month_start_date x opco_code x LEAF category_key x store_id,monthly RANGE on month_start_date,200-250M / yr,money -> HOD,"yes (customer_key, count-only)",yes,has_food_line / has_soft_line / has_hard_line / hardline_purchase_count on customer_month_fact_v2,"Category-scoped customer activity: who bought what, where, and for how much. LEAF GRAIN with every ancestor denormalised (category_l1_key..category_l4_key), so a question filters at whatever depth it names and a customer is counted once - it is NOT one row per level, and category_level must not be filtered to avoid double counting. Carries store_id, which is what lets a customer-attribute question name a branch. Carries gross_sales_amount, so it IS money-bearing and the executive view omits that column. Deliberately carries no brand and no SKU. Replaces the has_*_line flags, which leaked out-of-scope category signal."
ci_meta,copilot_glossary,metadata,table_name x column_name,none,~260,none,no,no,copilot_glossary,Governed column glossary. Six new governance columns let the planner's context be filtered by role and category grant before it ever sees a column.
ci_meta,copilot_lookup_value,metadata,source_scope x source_table x source_column x reference_column x raw_value x opco_code x row_fingerprint,none,"~6,000",none,no,no,copilot_lookup_value,Entity grounding for pg_trgm matching. Now RLS-scoped so an NorthCo Fashion user cannot resolve an NorthCo Mart store or an out-of-scope category name.
ci_meta,metric_definition,metadata,metric_key,none,~25,none,no,no,new,Semantic metric registry. Pins membership penetration and basket size to one definition each so the planner never re-invents them.
ci_hod,v_sales_daily,view,= fact_sales_daily,inherited,inherited,money present,no,yes,-,HOD view of the atomic fact. All money measures plus generated member_* convenience columns.
ci_exec,v_sales_daily,view,= fact_sales_daily,inherited,inherited,money absent,no,no,-,"Executive view of the atomic fact. gross_sales_amount / net_sales_amount / discount_amount / gmv_amount / member_sales_amount are ABSENT, so referencing them fails to resolve rather than returning zeros."
ci_hod,v_sales_summary_daily,view,= agg_sales_daily,inherited,inherited,money present,no,yes,-,HOD view of the daily rollup. Primary table for Q1/Q2/Q3.
ci_exec,v_sales_summary_daily,view,= agg_sales_daily,inherited,inherited,money absent,no,no,-,Executive view of the daily rollup. Volume measures only.
ci_hod,v_sales_store_monthly,view,month_start_date x opco x store x category_key x customer_type (AGGREGATED from fact_sales_daily),prunes by month via fact_sales_daily,computed,money present,no,yes,-,"HOD view of store/category league tables. The only aggregating view in the schema: agg_sales_store_monthly was dropped, so this GROUPs fact_sales_daily and computes category_sales_rank as a window function. It has NO customer_count column -- the atomic fact has no customer key, and summing daily counts would double-count. "
ci_exec,v_sales_store_monthly,view,month_start_date x opco x store x category_key x customer_type (AGGREGATED from fact_sales_daily),prunes by month via fact_sales_daily,computed,money absent,no,no,-,"Executive view of store/category league tables. The only aggregating view in the schema: agg_sales_store_monthly was dropped, so this GROUPs fact_sales_daily and computes category_sales_rank as a window function. It has NO customer_count column -- the atomic fact has no customer key, and summing daily counts would double-count. gross_sales_amount, gmv_amount, category_sales_rank and is_top_100 are ABSENT."
ci_hod,v_sales_sku_monthly,view,= agg_sales_sku_monthly,inherited,inherited,money present,no,yes,-,HOD view of SKU and brand sales. gross_sales_amount plus the generated member_transaction_count / member_sales_amount columns.
ci_exec,v_sales_sku_monthly,view,= agg_sales_sku_monthly,inherited,inherited,money absent,no,no,-,Executive view of SKU and brand sales. gross_sales_amount and member_sales_amount are ABSENT; rank brands and SKUs by transaction_count or quantity instead.
ci_hod,v_customer_opco_monthly,view,= fact_customer_opco_monthly (one row per customer PER OPCO per month),inherited,inherited,money present,yes (count-only),yes,-,HOD view of opco-scoped customer state.
ci_exec,v_customer_opco_monthly,view,= fact_customer_opco_monthly (one row per customer PER OPCO per month),inherited,inherited,money absent,yes (count-only),no,-,Executive view of opco-scoped customer state. total_revenue / total_gmv absent.
ci_hod,v_customer_category_monthly,view,= bridge_customer_category_monthly,inherited,inherited,money present,yes (count-only),yes,-,"Category-scoped customer counts AND spend, by store. Carries gross_sales_amount."
ci_exec,v_customer_category_monthly,view,= bridge_customer_category_monthly,inherited,inherited,money absent,yes (count-only),no,-,"Category-scoped customer counts by store. gross_sales_amount is ABSENT - counts, transactions and quantity only."
ci_meta,copilot_access_log,audit,one request,none,append-only,none,no,no,new,"Who ran what. Holds the one thing MLflow structurally cannot: the REAL principal_id, since mlflow_observability.safe_user_hash hashes it. Plus role_level, denial reason, suppression count and mlflow_trace_id to reach the rest. KEPT when row-level security was withdrawn, and the reason is the reverse of the obvious one: FORCE RLS was the structural proof that access held, so with it gone this is the only durable record -- and every caller can now query every OpCo, which makes that record cover more. The copilot role has no grant on it; the loader writes, a human reads."
