opco_code,opco_name,store_id,store_name,store_type,store_location
NORTHCO,NorthCo,3300,CENTRALIZED NORTHCO STYLE ALDERRIDGE BRENBROOK,CENTRALIZED NORTHCO STYLE,Central
NORTHCO,NorthCo,2032,NORTHCO MALL CALDERFIELD DUNMORTON,GMS - SHOPPING COMPLEX,Central
NORTHCO,NorthCo,3202,ELMERVALE FARROWMERE,NSC - SHOPPING COMPLEX,Central
NORTHCO,NorthCo,3201,GLEDEHOLT HALLOWWICK IRONSTEAD,NSC - SHOPPING COMPLEX,Central
NORTHCO,NorthCo,8017,NORTHCO FOOD PROCESS CENTER,PROCESSING CENTER,Central
NORTHCO,NorthCo,8014,ELECTRICAL SERVICE CENTRE,SERVICE CENTER,Central
NORTHCO,NorthCo,8018,S01 PERISHABLE TRANSFER CENTER,SERVICE CENTER,Central
NORTHCO,NorthCo,8015,JESSAMGATE (KESTRELFORD) WELLNESS,SERVICE CENTER,Central
NORTHCO,NorthCo,8012,JESSAMGATE (STOCK POINT),SERVICE CENTER,Central
NORTHCO,NorthCo,8004,DISTRIBUTION CENTER LARKINHAVEN MARLOWCROSS,SERVICE CENTER,Central
NORTHCO,NorthCo,8011,ONLINE STOCK POINT,SERVICE CENTER,Central
NORTHCO,NorthCo,8003,PERISHABLE TRANSFER CENTER,SERVICE CENTER,Central
NORTHCO,NorthCo,8050,SUPPLY CHAIN,SERVICE CENTER,Central
NORTHCO,NorthCo,8009,DISTRIBUTION CENTER NETHERMOOR,SERVICE CENTER,Central
NORTHCO,NorthCo,8010,JESSAMGATE (CROSS DOCK),SERVICE CENTER,Central
NORTHCO,NorthCo,8005,DISTRIBUTION CENTER CALDERFIELD DUNMORTON,SERVICE CENTER,Central
NORTHCO,NorthCo,8013,ORIELBURN (STOCK POINT),SERVICE CENTER,Central
NORTHCO,NorthCo,8008,DISTRIBUTION CENTER,SERVICE CENTER,Central
NORTHCO,NorthCo,8019,PENROSEDALE STOCK POINT,SERVICE CENTER,Central
NORTHCO,NorthCo,8001,PROCESS CENTER GLEDEHOLT NETHERMOOR,SERVICE CENTER,Central
NORTHCO,NorthCo,8021,IMPORT S02 STOCK POINT,SERVICE CENTER,Central
NORTHCO,NorthCo,8016,JESSAMGATE (STOCK POINT) WELLNESS,SERVICE CENTER,Central
NORTHCO,NorthCo,8007,HAMPER CENTER,SERVICE CENTER,Central
NORTHCO,NorthCo,8002,PROCESS CENTER QUILLREACH RAVENSHOLLOW,SERVICE CENTER,Central
NORTHCO,NorthCo,8020,IMPORT DC STOCK POINT,SERVICE CENTER,Central
NORTHCO,NorthCo,4012,DENIM STUDIO S03,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4015,S04 2,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4004,DENIM STUDIO SELBYRIDGE THORNEBROOK,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4013,DENIM STUDIO UPSHAWFIELD CITY,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4009,DENIM STUDIO S05,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4001,DENIM STUDIO 1 VANTRYTON,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4007,DENIM STUDIO WRENVALE YARROWMERE,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4010,DENIM STUDIO S06,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4005,DENIM STUDIO FARROWMERE ZEPHYRHOLT,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4008,DENIM STUDIO QUILLREACH RAVENSHOLLOW,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4011,DENIM STUDIO S07,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4014,S04 1,SHOP (DENIM STUDIO),Central
NORTHCO,NorthCo,4201,CITRUS SORBET  SELBYRIDGE THORNEBROOK,SHOP (CITRUS SORBET),Central
NORTHCO,NorthCo,4200,CITRUS SORBET  WRENVALE ASHBYWICK,SHOP (CITRUS SORBET),Central
NORTHCO,NorthCo,4202,CITRUS SORBET  FARROWMERE ZEPHYRHOLT,SHOP (CITRUS SORBET),Central
NORTHCO,NorthCo,4203,S08 1,SHOP (CITRUS SORBET),Central
